category,source,url,skip,context optional for comprehension,source guarantee optional,strategy,notes
2020/21,PolitiFact,https://www.politifact.com/factchecks/2020/nov/05/facebook-posts/despite-sharpiegate-no-evidence-plot-use-pens-canc/,,no,no,Local Counter-Evidence,Based on a flawed assumption.
2020/21,PolitiFact,https://www.politifact.com/factchecks/2020/nov/03/facebook-posts/kohls-has-t-shirt-line-promotes-racial-equality-it/,,no,no,Local Counter-Evidence,The claim relies on Kohl's announcement to partner with a black-owned business and supports racial equality. This serves as the basis but does not mean that they are affiliated. 
2020/21,PolitiFact,https://www.politifact.com/factchecks/2020/jul/03/ron-desantis/desantis-falsely-claims-he-was-never-asked-about-c/,,yes,yes,Global Counter-Evidence,Positive counter examples exist.
2020/21,PolitiFact,https://www.politifact.com/factchecks/2020/nov/02/facebook-posts/no-nancy-pelosis-son-didnt-serve-burisma-board/,,yes,yes,No Evidence Assertion,"No source was provided. The claim is fully comprehensible and the fact-checker did not rely on any additional context. However, they did an extensive search to conclude that no evidence points to this claim."
2020/21,PolitiFact,https://www.politifact.com/factchecks/2020/sep/09/viral-image/photo-detained-child-migrants-2019-not-2014/,Misrepresented Image,,,,Need to find the original context of the image.
2020/21,PolitiFact,https://www.politifact.com/factchecks/2020/mar/05/facebook-posts/no-statewide-school-and-business-closures-florida-/,,yes,yes,No Evidence Assertion,"No source was provided. The claim is fully comprehensible but was debunked on ground of no counter evidence exists: There was no media attention, and no such information was found on the official website."
2020/21,PolitiFact,https://www.politifact.com/factchecks/2020/dec/07/viral-image/no-danish-study-didnt-prove-wearing-masks-ineffect/,,no,no,Local Counter-Evidence,Source guarantee is required to infer that the Danish study the claim relies on cannot be used to fully support the claim.
2020/21,PolitiFact,https://www.politifact.com/factchecks/2020/jul/01/viral-image/social-media-image-about-mask-efficacy-right-senti/,,yes,yes,No Evidence Assertion,No source was provided. At this point no data existed to derive any numbers. The fact-checkers asked experts (who agreed with the sentiment) to find that no evidence can back up these numbers.
2020/21,PolitiFact,https://www.politifact.com/factchecks/2020/mar/20/facebook-posts/debate-joe-biden-said-no-more-oil-drilling-and-no-/,,yes,no,Local Counter-Evidence,"This is based on a debate in which he said something similar (in the sense of not stopping parts / not starting new drillings), which does not support the claim."
2020/21,PolitiFact,https://www.politifact.com/factchecks/2020/jan/07/viral-image/photo-horse-being-led-through-smoky-burned-field-t/,Misrepresented Image,,,,
2020/21,PolitiFact,https://www.politifact.com/factchecks/2020/jul/23/facebook-posts/fbi-has-not-linked-teachers-antifa/,,yes,yes,No Evidence Assertion,No source was provided. They could not find any such statements from FBI or any other intelligence agency.
2020/21,PolitiFact,https://www.politifact.com/factchecks/2020/dec/29/facebook-posts/nashville-explosion-was-suicide-bombing-not-missil/,,yes,no,Local Counter-Evidence,The (ongoing) investigation said the incident was done by a suicide attack. Both (different) event descriptions must be guaranteed to refer to the same incident.
2020/21,PolitiFact,https://www.politifact.com/factchecks/2021/dec/13/facebook-posts/no-fauci-didnt-say-he-wants-americans-get-four-cov/,,no,no,Non-credible source,"Assuming time and location are known one can assume that the reference to COVID vaccines is clear. It does need more context though, as no counter-evidence exists (he did not say that), but the claim is debunked due to relying on a satire article."
2020/21,PolitiFact,https://www.politifact.com/factchecks/2021/nov/30/blog-posting/vaccinated-people-england-are-not-dying-faster-rat/,,no,no,Local Counter-Evidence,The claim references an article from which it falsely computes this statistic (comparing raw numbers when 90% are vaccinated).
2020/21,PolitiFact,https://www.politifact.com/factchecks/2021/dec/15/blog-posting/vaers-data-misused-spread-fears-about-vaccines-imp/,,no,no,Non-credible source,"This falsely assumes VAERS is the new document (and proof). VAERS is not reliable and the data cannot be used for such causal conclusions. The source guarantee is required to debunk the claim based on unverified / insufficient data. Theoretically, recommendations from the CDC for pregnant women exist, yet this alone would be insufficient counter-evidence given that the claim is about new documents."
2020/21,PolitiFact,https://www.politifact.com/factchecks/2021/jan/16/instagram-posts/no-joe-biden-didnt-stay-silent-about-violence-blac/,,yes,yes,Global Counter-Evidence,"Since Biden did speak about this incident, counter-evidence exists. (counter-example)"
2020/21,PolitiFact,https://www.politifact.com/factchecks/2021/jul/09/facebook-posts/hoax-about-mayor-refusing-pork-demands-spreads-aga/,,yes,yes,Global Counter-Evidence (Already Refuted),Long-running myth
2020/21,PolitiFact,https://www.politifact.com/factchecks/2021/jul/23/tiktok-posts/biden-harris-doubted-trump-covid-19-vaccines-not-v/,,no,no,Local Counter-Evidence,"This is based on an interview in which they doubted Trump, not the vaccine. This particular claim is in video form. It is still textualizable and hence applicable in textual forms. Source guarantee required to assert evidence refers to the same interview."
2020/21,PolitiFact,https://www.politifact.com/factchecks/2021/mar/01/facebook-posts/no-kaleb-shriners-hospitals-commercials-didnt-die/,,yes,yes,Global Counter-Evidence (Already Refuted),Shriners hospital has already publicly addressed this myth. Hence counter-evidence exists and can easily be identified.
2020/21,PolitiFact,https://www.politifact.com/factchecks/2021/jul/30/facebook-posts/uk-health-official-misspoke-when-he-said-60-hospit/,,yes,yes,Global Counter-Evidence (Already Refuted),This was based on a misstatement by a UK official which he then corrected. Hence counter evidence exists.
2020/21,PolitiFact,https://www.politifact.com/factchecks/2021/aug/17/instagram-posts/instagram-post-incorrectly-interprets-pfizer-vacci/,,no,no,Local Counter-Evidence,The claim says that the official narrative does not have the full story. It bases its statistics on a report which is needed (source guarantee) to identify that it confuses absolute and relative risk reduction.
2020/21,PolitiFact,https://www.politifact.com/factchecks/2021/jul/30/facebook-posts/no-opening-ceremony-2012-london-olympics-didnt-pre/,This strongly relies on visual evidence ,,,,
2020/21,PolitiFact,https://www.politifact.com/factchecks/2021/sep/10/facebook-posts/no-evidence-27-fighter-pilots-have-resigned-due-co/,,no,no,Non-credible source,"This is based on a known misinformation/""satire"" page. Even upon request to officially no evidence points to the claim being true."
2020/21,PolitiFact,https://www.politifact.com/factchecks/2021/mar/09/facebook-posts/no-oprah-wasnt-wearing-ankle-monitor-her-meghan-ma/,Image reasoning,,,,
2020/21,PolitiFact,https://www.politifact.com/factchecks/2021/nov/11/viral-image/being-vaccinated-against-covid-19-limits-chance-vi/,,yes,yes,Global Counter-Evidence,"Studies exist that show this reduces time of being infectious, reduces the risk of getting infected (and infectious), etc. The claim is baseless, so no source is needed."
2020/21,Snopes,https://www.snopes.com/fact-check/embassy-meme/,,no,no,Local Counter-Evidence,"Even though the claim originated from an image, the image does not play a role in the verification, as no names of the people in this picture are given. The original article (needed as context) did not include any such information. The claim is debunked based on no evidence, as it would be expected to get much media coverage. "
2020/21,Snopes,https://www.snopes.com/fact-check/tracking-stimulus-check/,Not applicable,,,,Involves calling the hotline which was an April-fool joke.
2020/21,Snopes,https://www.snopes.com/fact-check/china-kill-coronavirus-patients/,,no,no,Non-credible source,"More context is required to understand where it is coming from. it must be guaranteed to come from this webpage as it is known for spreading misinformation. Further, neither does the source back up the claim with evidence, nor did other major news report about it."
2020/21,Snopes,https://www.snopes.com/fact-check/melania-trump-destroy-rose-garden/,,yes,yes,Global Counter-Evidence,"According to Snopes, the claim is false because neither did all former first ladies plant roses nor did Jacky Kennedy design the first garden. Snopes does not specify how they know this, Reuters says there is no comprehensive list. Either way, roses do not live that long, hence the claim can be debunked."
2020/21,Snopes,https://www.snopes.com/fact-check/mass-graves-italy-coronavirus/,Video,,,,
2020/21,Snopes,https://www.snopes.com/fact-check/serena-williams-sick-of-covid/,Imposter,,,,
2020/21,Snopes,https://www.snopes.com/fact-check/flu-kills-more-people-covid-19/,,yes,yes,Global Counter-Evidence,"Contrast this claim with official and scientific documents. However Snopes does not go into detail here, as even the sources they show provide CDC documents (likely misrepresented)."
2020/21,Snopes,https://www.snopes.com/fact-check/protestjobs-hiring-service/,Scam,,,,
2020/21,Snopes,https://www.snopes.com/fact-check/antifa-flyer-trump-supporters/,Image,,,,
2020/21,Snopes,https://www.snopes.com/fact-check/pallets-of-bricks-protest-sites/,Mosty based on Images,,,,
